CORP,FLEET,UNIT,LOG
1,3943,1550,8433953
1,123026,726583,8433961
1,107546,201129,8435054
1,107546,201132,8435057
1,4632,114006,8436118
1,6976,459902,8436205
1,3066,111282,8436605
1,100003,21151,8436883
1,100003,21179,8436914
98,308261,2011154,8437491
1,4714,11254,8437626
98,226993,1206,8438043
1,123026,726590,8439233
1,123026,726591,8439570
1,123026,726592,8439574
1,6976,459927,8439992
1,2209,111321,8440453
1,101823,20110010,8440966
1,107546,254713,8441614
1,3943,11554,8442528
1,3943,11555,8442530
98,308261,2011182,8442700
1,4714,11259,8442905
1,4686,11104,8443671
1,2209,111386,8444560
98,308261,2011196,8444778
98,308414,2011057,8445277
1,3066,111459,8445864
1,3066,111512,8447618
1,123026,726599,8449485
1,3066,111543,8450884
98,308423,201144,8451047
1,7641,614527,8451072
1,7680,21820,8452135
1,5678,13017,8452265
1,5678,13019,8452281
1,917,21531,8453162
1,3943,1576,8454810
1,800001,16,8455026
1,123026,726602,8456429
1,3066,111575,8461699
1,4071,21405,8461784
1,4071,21420,8462083
1,123026,726603,8462089
1,358,99565,8462897
1,3943,1615,8463268
1,3943,1616,8463272
1,3652,3209,8463974
1,3943,1605,8464423
1,102380,274885,8465101
1,508123,10106,8465213
1,496,2201,8466081
1,123026,726607,8469517
1,3943,1606,8470146
1,800035,2011047,8471959
1,800035,2011020,8471972
1,800035,2011064,8471976
1,800035,2011055,8472007
1,800035,2011073,8472030
1,358,11010,8472483
1,800001,62,8473610
1,800001,75,8473626
1,800001,86,8473637
1,800001,122,8473673
1,800001,SCDEN36 ,8473697
1,123026,726610,8473799
1,4716,12,8474807
1,123026,726611,8475489
1,5789,216292,8475766
1,5789,216294,8475768
1,5789,216418,8475916
1,5789,216459,8475964
1,5789,216831,8476637
1,5789,216857,8476665
1,5789,217032,8476838
1,5789,217078,8476882
1,5789,217255,8477265
1,5789,217348,8477429
1,5789,217392,8477553
1,5789,217449,8477628
1,5789,217460,8477642
1,5789,217472,8477653
1,5789,217548,8477780
1,5789,217597,8477813
1,4793,376,8477960
1,6403,T20370  ,8478613
1,5789,217849,8479361
1,4793,380,8480090
98,72407,2012008,8481889
1,5789,218103,8482712
1,5789,218194,8484464
1,5130,101,8486511
1,100482,48200167,8487537
1,123026,726615,8488268
1,4071,21437,8488763
1,8149,30237,8489295
1,123026,726617,8489409
1,3104,92067,8489511
1,358,11026,8489513
1,4938,1204,8489519
1,123026,726619,8490862
1,6045,21085,8490993
1,2209,0110240V,8491116
1,123026,726618,8491739
1,123026,726621,8493155
1,123026,726622,8493159
1,3104,92075,8493160
1,3104,92079,8493719
1,3104,92084,8493730
1,3104,92095,8494057
1,3104,92098,8494065
1,4071,22046,8494093
1,3104,92106,8494177
1,3104,92109,8494192
1,3104,92120,8494561
1,3104,92122,8494567
1,3104,92133,8494684
1,4071,22096,8494699
1,4071,22105,8494711
1,4071,22109,8494715
1,3104,92144,8495108
1,3104,92145,8495111
1,3104,92151,8495126
1,1524,87723,8495515
1,4071,22136,8495559
1,123026,726624,8501360
1,4071,22484,8502369
1,5789,218237,8503555
1,5789,218240,8504421
1,102380,274929,8505696
1,4706,21059,8505981
1,3943,1636,8506743
1,3943,1637,8506745
1,800041,12040,8507095
1,123026,726628,8507346
1,406,12011,8507553
1,4071,22490,8507601
1,4411,211215,8507614
1,4411,211218,8507618
1,4071,22491,8508082
1,123026,726635,8508775
1,123026,726636,8509232
1,123026,726638,8509555
1,123026,726639,8509564
1,123026,726642,8509976
1,123026,726643,8509983
1,123026,726644,8509988
1,123026,726645,8509990
1,7680,22141,8511252
1,61,32018,8511256
1,4905,8437,8511909
1,4905,8439,8511912
1,4905,8461,8511934
1,4905,8470,8511943
1,4905,8471,8511944
1,4905,8475,8511948
1,4905,8482,8511960
1,4905,8504,8512119
1,4905,8512,8512127
1,4905,8516,8512131
1,4905,8518,8512133
1,4905,8525,8512140
1,4905,8528,8512143
1,4905,8529,8512144
1,4905,8532,8512147
1,4905,8536,8512151
1,4905,8540,8512155
1,4905,8542,8512157
1,4905,8551,8512166
1,4905,8560,8512175
1,4905,8564,8512179
1,4905,8578,8512193
1,4905,8603,8512218
1,4905,8604,8512219
1,4905,8607,8512222
1,4905,8611,8512226
1,4905,8613,8512227
1,4905,8625,8512241
1,4905,8635,8512251
1,4905,8642,8512258
1,4905,8647,8512263
1,4905,8648,8512264
1,4905,8649,8512265
1,4905,8659,8512275
1,4905,8665,8512281
1,4905,8666,8512282
1,4905,8667,8512283
1,4905,8680,8512296
1,4905,8685,8512301
1,4905,8686,8512302
1,4905,8693,8512309
1,4905,8720,8512328
1,4905,8732,8512340
1,4905,8735,8512343
1,4905,8755,8512363
1,4905,8760,8512368
1,4905,8761,8512369
1,4905,8762,8512370
1,4905,8764,8512372
1,4905,8771,8512379
1,4905,8793,8512400
1,4905,8797,8512404
1,4905,8806,8512413
