File Name,Date,Time,Connector Name,Records,Duration (ms)
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:08:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:08:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:09:22,IncrementalVehicleConnector,586,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:10:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:10:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:10:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:12:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:12:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:12:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:13:17,IncrementalVehicleConnector,586,17000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:14:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:14:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:14:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:16:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:16:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:16:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:17:23,IncrementalVehicleConnector,399,23000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:18:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:18:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:18:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:20:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:20:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:20:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:21:19,IncrementalVehicleConnector,399,19000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:22:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:22:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:22:19,IncrementalIndividualConnector,19,19000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:24:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:24:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:24:22,IncrementalIndividualConnector,19,22000
